2006					2007				2008				2009				2010				2011				2012				2013				2014			
Districts	Std 1-2 : Learning levels		Std 3-5 : Learning levels		Std 1-2 : Learning levels		Std 3-5 : Learning levels		Std 1-2 : Learning levels		Std 3-5 : Learning levels		Std  I-II : Learning levels		Std  III-V : Learning levels		Std 1-2 : Learning levels		Std 3-5: Learning levels		Std I-II Learning Levels		Std III-V: Learning Levels		Std I-II Learning Levels		Std III-V: Learning Levels		Std I-II Learning Levels		Std III-V: Learning Levels		Std I-II Learning Levels		Std III-V: Learning Levels	
Districts	% Children (Std 1-2) who CAN  read letters, words or  more	"% Children  (Std
1-2) who
CAN recognize numbers or  more"	"% Children (Std 3-5) who CAN  read Level 1
(Std 1) text or  more"	"% Children
(Std 3-5) who
CAN
do  subtraction  or  more"	"% Children (Std 1-2) who CAN RECOGNIZE NUMBERS
(1-9) or  more"	"% Children (Std 1-2) who CAN
READ letters or  more in ENGLISH"	% Children (Std 3-5) who CAN SUBTRACT or do  more	% Children (Std 3-5) who CAN  READ sentences in ENGLISH	"% Children (Std 1-2) who CAN
READ letters,
words or more"	"% Children (Std 1-2) who CAN RECOGNIZE NUMBERS (1-9)
or more"	"% Children (Std 3-5) who CAN
READ Level 1
(Std 1 Text) or more"	"% Children (Std 3-5) who CAN DO
SUBTRACTION
or more"	"% Children (Std I-II) who CAN RECOGNIZE NUMBERS
1 to 9 or more"	% Children (Std I-II) who CAN READ LETTERS or more in ENGLISH	"% Children (Std III-V) who
CAN DO SUBTRACTION or more"	% Children (Std III-V) who CAN READ sentences in ENGLISH	"% Children (Std I-II) who
CAN READ letters, words or more"	"% Children (Std I-II) who CAN RECOGNIZE NUMBERS
1 to 9 or more"	% Children (Std I-II) who CAN READ LETTERS or more in ENGLISH	"% Children (Std III-V) who
CAN DO SUBTRACTION or more"	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more
Ahmednagar	98.1	88.7	83.7	90.9	97.3	39.3	76.2	14.2	83.2	82.1	92.4	82.2	98	27.2	92.5	10.9	97.4	96.1	92.4	85.1	98.7	93.3	91.2	71.3	76.6	78.9	86.9	64.6	64.2	65.1	71.7	39.2	72.3	73.3	70.7	45.2
Akola	81.7	57.1	71.2	50.8	79	40.4	73.8	31.7	81.1	78.6	71	46.2	98.9	90.3	90.9	24.6	96.2	94.9	84.5	58.3	89.4	88.6	67.8	32.7	65.9	72.8	47.3	15.3	58.7	69.2	52.9	20.2	65	70	57.7	23.8
Amravati	75.4	54.2	67.7	48.4	87.7	40.9	52.4	17.3	77.6	75.4	69.2	32.6	98.8	86.1	64.8	16.2	95.1	89.5	80.3	54.4	91	92.3	70	40.8	78.6	88	64.6	29.9	63.9	70.4	65	28.1	72.6	73.3	45.6	14.4
Aurangabad	86.8	68.7	76.2	58	88.2	40.2	38.9	21	95.6	87.8	77.4	48.5	100	55.6	85.1	15	98	95.9	85.2	58.4	97.6	97.5	81	69.1	59.7	66.2	51.3	16.3	62.8	73.2	63.6	21.8	71.9	74	60.2	26.6
Bhandara	93.9	87.9	81.6	77.3	95.4	47.7	71.7	11.2	89.4	89.4	94.3	73.6	98.7	59.2	66.9	5.5	86.1	83	78.3	47.7	90.9	87.6	81.3	54.7	73.5	74.5	72.7	26.1	69.2	75	70.6	24.2	62.5	70.8	71.1	26.4
Beed	100	94.6	83.4	73.1	93	26.1	74.3	4.1	97.1	98.1	91.7	84.4	100	83.6	92.9	25.3	99.5	99.5	94.4	89.1	97.1	98.2	92.2	85.8	81.4	86.1	77.8	51.6	67.5	76.4	76.4	18.7	59	65.8	59	24
Buldana	84.2	65.5	83.2	72.9	95.7	69.4	84.7	35.3	99.4	98.3	98.3	97.2	91.6	64.1	58.3	8.9	92.2	92.2	87.1	61.5	90.8	92.6	74.9	59	81.2	78	69.8	32	64	70.2	62.7	31.5	68.4	76.3	62.4	25.4
Chandrapur	82.4	66.2	73.3	68.3	82.9	25.6	43.3	2.9	86.1	87.8	72.8	49.8	92.2	65.3	70.9	8.9	90.2	84	74.9	39.8	93.6	91.5	80.2	59.8	86.2	87.4	61.9	38.6	66.3	73.8	79.3	37.6	72.9	81.4	64.9	31
Dhule	81.8	65.5	60.3	43.3	92.1	50.5	33	16.5	98.1	94.8	70.7	37.1	98	44.3	80.6	18.3	99.3	99.3	95.3	61.4	94.2	93.1	79.1	36	87.3	88	57.4	8.7	53.4	62.4	63.9	17.1	56.5	72.3	55.9	18.9
