district_name,division,facility,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
AHMADNAGAR,Nashik,electricity,,,,,68.58,81.85,93.12,92,91.77
AKOLA,Amravati,electricity,,,,,83.51,85.02,87.3,89,89
AMRAVATI,Amravati,electricity,,,,,70.77,85.46,74.95,85.69,85.26
AURANGABAD (MAHARASHTRA),Aurangabad,electricity,,,,,54.75,70.81,97.47,96.18,95.88
BHANDARA,Nagpur,electricity,,,,,76.04,54.46,98.43,98.59,97.15
BID,Aurangabad,electricity,,,,,57.3,92.92,60.1,63.6,63.54
BULDANA,Amravati,electricity,,,,,82.85,56.27,84.68,83.71,83.06
CHANDRAPUR,Nagpur,electricity,,,,,91.06,85.19,93.13,93.03,91.44
DHULE,Nashik,electricity,,,,,79.47,91.95,87.03,86,85.64
GADCHIROLI,Nagpur,electricity,,,,,65.97,78.61,68.53,68.36,67.94
GONDIYA,Nagpur,electricity,,,,,90.17,68.56,88.31,87.56,87.03
HINGOLI,Aurangabad,electricity,,,,,49.56,86.35,60.38,76.78,76.78
JALGAON,Nashik,electricity,,,,,85.47,51.9,80.64,85.67,85.16
JALNA,Aurangabad,electricity,,,,,39.85,80.95,67.25,73.26,73.04
KOLHAPUR,Pune,electricity,,,,,83.39,56.15,92.59,91.07,90.09
LATUR,Aurangabad,electricity,,,,,66.57,85.52,79.46,84.15,84.12
MUMBAI,Konkan,electricity,,,,,100,67.83,99.78,104.38,99.54
MUMBAI (SUBURBAN),Konkan,electricity,,,,,98.99,100.34,100,100.08,100
NAGPUR,Nagpur,electricity,,,,,86.14,99.57,99.69,99.13,97.67
NANDED,Aurangabad,electricity,,,,,65.9,88.16,71.17,73.17,72.75
NANDURBAR,Nashik,electricity,,,,,48,67.25,51.1,53.13,53.03
NASHIK,Nashik,electricity,,,,,50.8,47.89,94.12,90.08,89.81
OSMANABAD,Aurangabad,electricity,,,,,72.74,49.63,82.33,82.35,82.08
PARBHANI,Aurangabad,electricity,,,,,66.57,70.97,70.26,69.89,69.89
PUNE,Pune,electricity,,,,,80.77,66.65,94.52,96.93,95.57
RAIGARH (MAHARASHTRA),Konkan,electricity,,,,,74.12,82.54,91.41,88.38,87.36
RATNAGIRI,Konkan,electricity,,,,,85.58,76.85,95.1,92.23,91.4
SANGLI,Pune,electricity,,,,,75.35,88.1,72.49,72.66,72.02
SATARA,Pune,electricity,,,,,86.15,70.02,96.49,90.74,89.57
SINDHUDURG,Konkan,electricity,,,,,89.86,90.8,97.72,98.8,98.1
SOLAPUR,Pune,electricity,,,,,78.97,92.96,84.22,86.68,86.44
THANE,Konkan,electricity,,,,,74.65,78.26,81.62,86.04,85.13
WARDHA,Nagpur,electricity,,,,,87.68,73.97,99.05,99.2,98.55
WASHIM,Amravati,electricity,,,,,71.03,90.57,90.71,80.52,80.52
YAVATMAL,Amravati,electricity,,,,,66.45,72.51,76.76,86.45,86.28
AHMADNAGAR,Nashik,computer,,,,,34.28,27.72,95.42,96.92,96.68
AKOLA,Amravati,computer,,,,,42.76,39.2,44.1,45.52,45.52
AMRAVATI,Amravati,computer,,,,,34.63,43.22,35.77,38.02,37.83
AURANGABAD (MAHARASHTRA),Aurangabad,computer,,,,,37.62,34.72,43.16,45.87,45.72
BHANDARA,Nagpur,computer,,,,,36.7,38.08,41.01,43.34,42.71
BID,Aurangabad,computer,,,,,32.68,38.42,34.21,35.99,35.96
BULDANA,Amravati,computer,,,,,29.15,36.33,33.66,35.63,35.35
CHANDRAPUR,Nagpur,computer,,,,,36.41,32.78,37.15,39.75,39.07
DHULE,Nashik,computer,,,,,66.52,34.94,68.27,70.17,69.88
GADCHIROLI,Nagpur,computer,,,,,35.13,67.04,36.86,37.23,37
GONDIYA,Nagpur,computer,,,,,34,36.34,33.92,36.24,36.02
HINGOLI,Aurangabad,computer,,,,,44.13,33.15,46.08,47.97,47.97
JALGAON,Nashik,computer,,,,,36.32,45.53,39.51,40.03,39.8
JALNA,Aurangabad,computer,,,,,24.76,38.96,30.85,33.15,33.05
KOLHAPUR,Pune,computer,,,,,50.74,27.82,56.66,62.75,62.08
LATUR,Aurangabad,computer,,,,,43.27,53.11,46.08,48.56,48.54
MUMBAI,Konkan,computer,,,,,92.24,46.02,62.21,74.53,71.07
MUMBAI (SUBURBAN),Konkan,computer,,,,,67.48,72.72,99.16,99.59,99.5
NAGPUR,Nagpur,computer,,,,,48.48,98.12,49.83,53.5,52.71
NANDED,Aurangabad,computer,,,,,25.09,50.01,28.49,30.54,30.36
NANDURBAR,Nashik,computer,,,,,29.31,27.86,34.42,35.34,35.27
NASHIK,Nashik,computer,,,,,37.13,31.39,37.52,40.18,40.06
OSMANABAD,Aurangabad,computer,,,,,45.96,36.33,48.29,52.03,51.86
PARBHANI,Aurangabad,computer,,,,,37.59,47.18,41.99,43.91,43.91
PUNE,Pune,computer,,,,,52.48,42.06,76.97,80.34,79.21
RAIGARH (MAHARASHTRA),Konkan,computer,,,,,27.11,61.54,31.15,35.07,34.67
RATNAGIRI,Konkan,computer,,,,,32.66,28.93,37.96,41.76,41.38
SANGLI,Pune,computer,,,,,49.23,37.32,52.56,56.96,56.46
SATARA,Pune,computer,,,,,39.31,51.26,48.53,59.75,58.98
SINDHUDURG,Konkan,computer,,,,,39.52,41.72,42.33,46.46,46.13
SOLAPUR,Pune,computer,,,,,32.29,41.35,37.35,42.45,42.34
THANE,Konkan,computer,,,,,53.07,34.66,51.19,53.48,52.91
WARDHA,Nagpur,computer,,,,,33.48,50.09,35.75,37.23,36.98
WASHIM,Amravati,computer,,,,,45.42,34.72,43.51,46.13,46.13
YAVATMAL,Amravati,computer,,,,,32.46,46.1,34.73,36.34,36.26
AHMADNAGAR,Nashik,classroom_good_condition,85.29,84.31,83.06,78.74,86.22,82.21,86.8,89.82,92.66
AKOLA,Amravati,classroom_good_condition,77.49,79.13,81.39,80.38,83.11,87.07,84.55,84.85,89.69
AMRAVATI,Amravati,classroom_good_condition,78.91,81.33,76.84,78.12,81.04,83.52,85.11,84.45,85.82
AURANGABAD (MAHARASHTRA),Aurangabad,classroom_good_condition,82.09,88.36,88.43,85.66,85.86,82.69,87.06,88.22,92.97
BHANDARA,Nagpur,classroom_good_condition,84.36,90.25,85.75,85.06,89.59,83.77,90.82,86.78,88.29
BID,Aurangabad,classroom_good_condition,76.65,80.45,80.36,76.43,82.64,90.67,80.94,78.97,85.11
BULDANA,Amravati,classroom_good_condition,80.1,83.5,84.14,83.51,87.35,81.94,89.65,90.24,93.46
CHANDRAPUR,Nagpur,classroom_good_condition,85.84,84.46,85.47,87.26,88.42,88.08,88.73,87.17,89.04
DHULE,Nashik,classroom_good_condition,91.04,90.34,89.49,90.52,92.2,87.62,93.88,91.59,93.8
GADCHIROLI,Nagpur,classroom_good_condition,85.57,82.09,83.44,82.36,82.98,90.18,85.8,85.92,85.89
GONDIYA,Nagpur,classroom_good_condition,79.86,89.72,86.46,87.18,88.23,84.27,89.79,87.77,90.17
HINGOLI,Aurangabad,classroom_good_condition,97.79,76.81,78.17,78.48,83.88,88.15,83.6,82.48,85.66
JALGAON,Nashik,classroom_good_condition,89.67,89.35,89.31,87.72,91.51,81.58,92.72,93.02,96.19
JALNA,Aurangabad,classroom_good_condition,85.15,84.28,83.14,80.77,85.29,90.67,83.69,83.54,86.24
KOLHAPUR,Pune,classroom_good_condition,84.84,87.24,87.85,88.28,89.02,83.1,90.54,89.88,91.58
LATUR,Aurangabad,classroom_good_condition,76.01,77.9,77.92,74.78,82.55,89.03,88.66,87.77,92.1
MUMBAI,Konkan,classroom_good_condition,85.93,93.78,95.57,96.96,98.26,81.78,95.27,96.01,99.96
