district_name,division,performance,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
AHMADNAGAR,Nashik,1-2_letters,98.1,97,83.2,99,97.4,98.7,76.6,64.2,72.3
AKOLA,Amravati,1-2_letters,81.7,77.2,81.1,99.5,96.2,89.4,65.9,58.7,65
AMRAVATI,Amravati,1-2_letters,75.4,87.2,77.6,98.8,95.1,91,78.6,63.9,72.6
AURANGABAD (MAHARASHTRA),Aurangabad,1-2_letters,86.8,79.1,95.6,100,98,97.6,59.7,62.8,71.9
BHANDARA,Nagpur,1-2_letters,93.9,96.1,89.4,98.1,86.1,90.9,73.5,69.2,62.5
BID,Aurangabad,1-2_letters,100,92.1,97.1,100,99.5,97.1,81.4,67.5,59
BULDANA,Amravati,1-2_letters,84.2,95.2,99.4,92.3,92.2,90.8,81.2,64,68.4
CHANDRAPUR,Nagpur,1-2_letters,82.4,84.2,86.1,93,90.2,93.6,86.2,66.3,72.9
DHULE,Nashik,1-2_letters,81.8,90.8,98.1,98.5,99.3,94.2,87.3,53.4,56.5
GADCHIROLI,Nagpur,1-2_letters,79.7,87.7,79.9,99.3,79,76.8,55.7,49.4,58.9
GONDIYA,Nagpur,1-2_letters,90.1,95.6,95.1,95.9,98.3,87.3,74.8,68.4,61.1
HINGOLI,Aurangabad,1-2_letters,82.1,94.7,91.1,86.6,94.7,,77.1,51.5,69.5
JALGAON,Nashik,1-2_letters,95.9,99.1,99.4,94.1,96.7,88.7,75.5,55,69.3
JALNA,Aurangabad,1-2_letters,77.2,90.5,94.7,92.6,90.4,87.2,87.9,57.8,63
KOLHAPUR,Pune,1-2_letters,90.5,93.2,91.6,93.9,95,98.7,,92.2,74
LATUR,Aurangabad,1-2_letters,84.5,90.5,89.5,83.2,91.4,92.2,75.8,84.6,63.3
MUMBAI,Konkan,1-2_letters,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,1-2_letters,,,,,,,,,
NAGPUR,Nagpur,1-2_letters,87.7,92.4,86.4,99.1,93.9,96.3,73.2,76.6,72.3
NANDED,Aurangabad,1-2_letters,99.6,93.4,83.2,84.8,93.4,77.7,61.6,52.3,64.2
NANDURBAR,Nashik,1-2_letters,74,69.7,82.1,94.1,95.5,91.5,79.1,54,35.3
NASHIK,Nashik,1-2_letters,77.6,86.7,82.4,81.2,92.1,97.2,81.8,83,62.1
OSMANABAD,Aurangabad,1-2_letters,99.6,92.2,91,95.4,94.5,93.6,83.8,80.9,75.9
PARBHANI,Aurangabad,1-2_letters,87.3,91.3,93.3,81.3,91.7,91.8,58.5,56.3,69.9
PUNE,Pune,1-2_letters,84.7,91.6,95.5,91.1,92.9,94.8,89.8,87.6,84.8
RAIGARH (MAHARASHTRA),Konkan,1-2_letters,91.7,94.8,97.1,96.8,98.6,89.3,78.4,73.8,64.5
RATNAGIRI,Konkan,1-2_letters,74.6,97.8,94.7,98,100,96.9,,92.8,84.2
SANGLI,Pune,1-2_letters,91.5,94.2,99.4,94.5,94.6,,,87,85.3
SATARA,Pune,1-2_letters,99,99.1,99.1,93.8,97.2,95.7,,83.3,87.2
SINDHUDURG,Konkan,1-2_letters,95,100,97.8,99.5,98.5,94.5,,85.2,94.8
SOLAPUR,Pune,1-2_letters,82.9,97.1,95.1,93.9,95.3,80.7,,77.2,81.4
THANE,Konkan,1-2_letters,88.8,97.2,98.3,85.9,92.7,88.1,75,54.2,60.4
WARDHA,Nagpur,1-2_letters,90.8,95.9,89.6,95.1,95.3,83.8,79.1,82.1,73
WASHIM,Amravati,1-2_letters,77.8,91,83.3,100,97.7,81.8,75.2,58.1,56.5
YAVATMAL,Amravati,1-2_letters,80.8,89.4,77.4,86.5,95.7,78.2,74.8,52.6,55
AHMADNAGAR,Nashik,1-2_numbers,88.7,97.3,82.1,98,96.1,93.3,78.9,65.1,73.3
AKOLA,Amravati,1-2_numbers,57.1,79,78.6,98.9,94.9,88.6,72.8,69.2,70
AMRAVATI,Amravati,1-2_numbers,54.2,87.7,75.4,98.8,89.5,92.3,88,70.4,73.3
AURANGABAD (MAHARASHTRA),Aurangabad,1-2_numbers,68.7,88.2,87.8,100,95.9,97.5,66.2,73.2,74
BHANDARA,Nagpur,1-2_numbers,87.9,95.4,89.4,98.7,83,87.6,74.5,75,70.8
BID,Aurangabad,1-2_numbers,94.6,93,98.1,100,99.5,98.2,86.1,76.4,65.8
BULDANA,Amravati,1-2_numbers,65.5,95.7,98.3,91.6,92.2,92.6,78,70.2,76.3
CHANDRAPUR,Nagpur,1-2_numbers,66.2,82.9,87.8,92.2,84,91.5,87.4,73.8,81.4
